NAME,lon,lat
"Iowa City, IA",-91.650,41.511
"Alma, MI",-84.605,43.293
"Pittsburg, KS",-94.852,37.507
"Athens, OH",-82.045,39.334
"Grand Island, NE",-98.280,41.033
"Casper, WY",-106.799,42.962
"Marion, IN",-85.655,40.516
"Watertown, SD",-97.189,44.978
"Russellville, AR",-93.235,35.211
"Elkhart-Goshen, IN",-85.859,41.597
"Ashland, OH",-82.271,40.846
"Mineral Wells, TX",-98.313,32.753
"Auburn, IN",-84.999,41.398
"Colorado Springs, CO",-104.658,38.843
"Mount Pleasant, MI",-84.847,43.641
"Menomonie, WI",-91.896,44.947
"Urbana, OH",-83.770,40.138
"New Castle, IN",-85.396,39.931
"Cedar Rapids, IA",-91.631,42.091
"Parsons, KS",-95.298,37.191
"Bangor, ME",-68.649,45.401
"Toccoa, GA",-83.293,34.554
"Ames, IA",-93.465,42.036
"Ashtabula, OH",-80.748,41.708
"Jackson, OH",-82.618,39.020
"Canton-Massillon, OH",-81.253,40.719
"Gallup, NM",-108.262,35.581
"Sterling, CO",-103.110,40.725
"Merrill, WI",-89.735,45.337
"Hannibal, MO",-91.570,39.661
"Bartlesville, OK",-95.904,36.715
"Rock Springs, WY",-108.880,41.660
"Marshall, MN",-95.839,44.414
"Gainesville, TX",-97.213,33.639
"Cadillac, MI",-85.337,44.338
"Sandpoint, ID",-116.601,48.300
"St. George, UT",-113.505,37.280
"Fergus Falls, MN",-95.708,46.409
"Jamestown, ND",-98.959,46.979
"Liberal, KS",-100.851,37.193
"Cedar City, UT",-113.290,37.859
"Coeur d'Alene, ID",-116.702,47.674
"Lebanon, MO",-92.590,37.658
"Jonesboro, AR",-90.648,35.698
"McComb, MS",-90.660,31.175
"Moultrie, GA",-83.769,31.188
"Weatherford, OK",-99.001,35.639
"Appleton, WI",-88.371,44.289
"Mountain Home, AR",-92.337,36.287
"Effingham, IL",-88.590,39.060
"Columbus, IN",-85.898,39.206
"Hot Springs, AR",-93.150,34.577
"Red Wing, MN",-92.723,44.410
"Fond du Lac, WI",-88.488,43.754
"Fort Morgan, CO",-103.810,40.263
"Maysville, KY",-83.824,38.595
"Rockford, IL",-89.042,42.332
"Flint, MI",-83.707,43.022
"Altoona, PA",-78.349,40.481
"San Germán, PR",-67.062,18.057
"San Jose-Sunnyvale-Santa Clara, CA",-121.376,36.909
"Sebring, FL",-81.341,27.343
"Española, NM",-106.693,36.510
"Georgetown, SC",-79.332,33.434
"Grand Rapids-Wyoming, MI",-85.488,42.999
"Branson, MO",-93.224,36.695
"Susanville, CA",-120.594,40.674
"Shelby, NC",-81.556,35.334
"Las Cruces, NM",-106.833,32.353
"Rochelle, IL",-89.321,42.043
"Sanford, NC",-79.171,35.475
"Homosassa Springs, FL",-82.479,28.849
"Jackson, WY-ID",-110.649,43.918
"Albuquerque, NM",-106.472,35.122
"Augusta-Waterville, ME",-69.767,44.409
"Portales, NM",-103.480,34.021
"Battle Creek, MI",-85.006,42.247
"Sayre, PA",-76.515,41.789
"Winona, MN",-91.779,43.987
"Junction City, KS",-96.753,39.002
"Great Bend, KS",-98.756,38.479
"Magnolia, AR",-93.227,33.214
"Carson City, NV",-119.747,39.151
"Freeport, IL",-89.662,42.352
"Forrest City, AR",-90.748,35.022
"Muskogee, OK",-95.380,35.616
"Houston-The Woodlands-Sugar Land, TX",-95.401,29.787
"Las Vegas, NM",-104.816,35.480
"Big Rapids, MI",-85.325,43.641
"Wilmington, OH",-83.808,39.415
"Newton, IA",-93.054,41.686
"Brookings, SD",-96.790,44.370
"New Bern, NC",-77.091,35.098
"Panama City, FL",-85.466,30.144
"Big Stone Gap, VA",-82.500,37.042
"Ponca City, OK",-97.144,36.818
"Ludington, MI",-86.250,43.995
"Dodge City, KS",-99.888,37.692
"Jamestown-Dunkirk-Fredonia, NY",-79.366,42.228
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",-120.405,35.387
"Watertown-Fort Drum, NY",-75.921,44.049
"Pella, IA",-93.099,41.334
"Oxford, NC",-78.653,36.304
"Kankakee, IL",-87.862,41.138
"Vermillion, SD",-96.976,42.915
"Lansing-East Lansing, MI",-84.607,42.713
"Show Low, AZ",-110.321,35.400
"Pittsburgh, PA",-79.831,40.439
"Deltona-Daytona Beach-Ormond Beach, FL",-81.220,29.174
"Manhattan, KS",-96.507,39.344
"Paris, TX",-95.571,33.667
"Fairmont, WV",-80.243,39.510
"Naples-Immokalee-Marco Island, FL",-81.348,26.111
"LaGrange, GA",-85.028,33.034
"Austin, MN",-92.753,43.671
"Port Lavaca, TX",-96.602,28.507
"Winston-Salem, NC",-80.346,36.077
"Texarkana, TX-AR",-94.214,33.474
"Sacramento--Roseville--Arden-Arcade, CA",-120.998,38.780
"Kansas City, MO-KS",-94.444,38.937
"Bennettsville, SC",-79.679,34.602
"Vicksburg, MS",-90.879,32.186
"Vineyard Haven, MA",-70.650,41.396
"Scottsboro, AL",-85.999,34.779
"Nacogdoches, TX",-94.616,31.616
"Olean, NY",-78.679,42.249
"Stockton-Lodi, CA",-121.271,37.935
"Decatur, AL",-87.103,34.491
"Sevierville, TN",-83.524,35.785
"Wichita, KS",-97.398,37.625
"Yankton, SD",-97.395,43.009
"Frankfort, IN",-86.475,40.302
"Bellefontaine, OH",-83.766,40.388
"Hanford-Corcoran, CA",-119.816,36.075
"Pine Bluff, AR",-91.950,34.077
"Morgantown, WV",-79.805,39.527
"Anniston-Oxford-Jacksonville, AL",-85.826,33.771
"Wapakoneta, OH",-84.222,40.561
"Brookings, OR",-124.157,42.458
"Trenton, NJ",-74.702,40.283
"Raleigh, NC",-78.461,35.757
"Moses Lake, WA",-119.452,47.206
"Heber, UT",-111.168,40.331
"Chicago-Naperville-Elgin, IL-IN-WI",-87.963,41.703
"Arkadelphia, AR",-93.176,34.051
"Topeka, KS",-95.803,39.044
"Edwards, CO",-106.695,39.628
"Columbus, OH",-82.837,39.968
"Albertville, AL",-86.307,34.367
"Jackson, TN",-88.853,35.610
"Scranton--Wilkes-Barre--Hazleton, PA",-75.896,41.323
"Visalia-Porterville, CA",-118.800,36.220
"Bastrop, LA",-91.802,32.820
"Vernal, UT",-109.519,40.125
"Crescent City, CA",-123.897,41.743
"Union City, TN-KY",-89.160,36.416
"Longview, WA",-122.681,46.193
"New Ulm, MN",-94.728,44.242
"Washington-Arlington-Alexandria, DC-VA-MD-WV",-77.474,38.833
"Arecibo, PR",-66.757,18.413
"Rochester, MN",-92.338,43.956
"Hickory-Lenoir-Morganton, NC",-81.454,35.813
"Oskaloosa, IA",-92.641,41.335
"Johnstown, PA",-78.714,40.495
"North Port-Sarasota-Bradenton, FL",-82.322,27.348
"Sterling, IL",-89.914,41.756
"Taylorville, IL",-89.277,39.546
"Farmington, NM",-108.321,36.509
"Albemarle, NC",-80.251,35.312
"Pecos, TX",-103.693,31.323
"Hope, AR",-93.504,33.703
"Rio Grande City, TX",-98.739,26.562
"Beeville, TX",-97.741,28.417
"Shelton, WA",-123.193,47.348
"Atlantic City-Hammonton, NJ",-74.661,39.478
"Minneapolis-St. Paul-Bloomington, MN-WI",-93.346,45.065
"Clinton, IA",-90.532,41.898
"Memphis, TN-MS-AR",-89.815,35.008
"Los Angeles-Long Beach-Anaheim, CA",-118.150,34.221
"Brenham, TX",-96.403,30.215
"Morristown, TN",-83.382,36.111
"Corpus Christi, TX",-97.481,27.895
"Glens Falls, NY",-73.649,43.444
"Poplar Bluff, MO",-90.407,36.716
"Americus, GA",-84.227,32.096
"Great Falls, MT",-111.347,47.308
"Yakima, WA",-120.738,46.457
"Spartanburg, SC",-81.847,34.838
"Middlesborough, KY",-83.674,36.731
"Washington, NC",-76.860,35.494
"Ada, OK",-96.684,34.728
"Los Alamos, NM",-106.307,35.869
"Atmore, AL",-87.162,31.126
"Juneau, AK",-134.151,58.444
"Weirton-Steubenville, WV-OH",-80.704,40.388
"Richmond, IN",-85.010,39.864
"Glasgow, KY",-85.822,36.975
"Farmington, MO",-90.472,37.810
"Tullahoma-Manchester, TN",-86.116,35.298
"Altus, OK",-99.415,34.588
"Laurinburg, NC",-79.480,34.841
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",-78.664,33.987
"El Centro, CA",-115.365,33.040
"Gadsden, AL",-86.035,34.045
"Okeechobee, FL",-80.889,27.386
"Dublin, GA",-82.851,32.529
"Seymour, IN",-86.038,38.906
"Gulfport-Biloxi-Pascagoula, MS",-89.018,30.499
"Oxnard-Thousand Oaks-Ventura, CA",-119.084,34.457
"Bluefield, WV-VA",-81.359,37.251
"Frankfort, KY",-84.933,38.124
"Rexburg, ID",-111.517,44.141
"McAllen-Edinburg-Mission, TX",-98.181,26.397
"Daphne-Fairhope-Foley, AL",-87.723,30.727
"Kinston, NC",-77.641,35.239
"Port St. Lucie, FL",-80.451,27.220
"Carlsbad-Artesia, NM",-104.304,32.471
"Jacksonville, IL",-90.285,39.694
"Bemidji, MN",-94.938,47.974
"Alexandria, MN",-95.454,45.934
"Galesburg, IL",-90.213,40.932
"Sebastian-Vero Beach, FL",-80.606,27.694
"Kerrville, TX",-99.350,30.061
"Pontiac, IL",-88.558,40.892
"Lamesa, TX",-101.948,32.743
"Cortland, NY",-76.070,42.595
"Lexington, NE",-99.823,40.759
"Bloomsburg-Berwick, PA",-76.459,41.044
"Rutland, VT",-73.037,43.580
"Winnemucca, NV",-118.112,41.407
"Worthington, MN",-95.753,43.674
"Kalamazoo-Portage, MI",-85.784,42.248
"Ontario, OR-ID",-117.588,43.226
"Flagstaff, AZ",-111.771,35.839
"Yuba City, CA",-121.518,39.155
"Brainerd, MN",-94.243,46.799
"Beatrice, NE",-96.689,40.262
"Key West, FL",-81.111,25.316
"Blackfoot, ID",-112.398,43.217
"Starkville, MS",-88.879,33.425
"Sheboygan, WI",-87.945,43.721
"Gardnerville Ranchos, NV",-119.616,38.912
"Hattiesburg, MS",-89.229,31.187
"Corinth, MS",-88.580,34.881
"Arkansas City-Winfield, KS",-96.838,37.238
"Wheeling, WV-OH",-80.841,39.975
"Hillsdale, MI",-84.593,41.888
"Huron, SD",-98.278,44.414
"Clovis, NM",-103.347,34.574
"Pittsfield, MA",-73.206,42.371
"Cordele, GA",-83.768,31.923
"Storm Lake, IA",-95.151,42.735
"Fayetteville-Springdale-Rogers, AR-MO",-94.122,36.196
"San Francisco-Oakland-Hayward, CA",-122.167,37.781
"Berlin, NH-VT",-71.422,44.700
"Tifton, GA",-83.527,31.457
"Niles-Benton Harbor, MI",-86.412,41.955
"Ann Arbor, MI",-83.839,42.253
"Quincy, IL-MO",-91.386,40.028
