NAME,lon,lat
"College Station-Bryan, TX",-96.489,30.757
"Astoria, OR",-123.656,45.995
"Boise City, ID",-116.143,43.016
"San Antonio-New Braunfels, TX",-98.602,29.429
"Orlando-Kissimmee-Sanford, FL",-81.363,28.434
"Tuscaloosa, AL",-87.722,33.168
"Omaha-Council Bluffs, NE-IA",-95.999,41.290
"Columbus, GA-AL",-84.909,32.441
"Miami-Fort Lauderdale-West Palm Beach, FL",-80.506,26.157
"Dallas-Fort Worth-Arlington, TX",-97.025,32.818
"Greenville, MS",-90.947,33.284
"Twin Falls, ID",-114.571,42.436
"Santa Maria-Santa Barbara, CA",-120.016,34.673
"Shelbyville, TN",-86.459,35.514
"Davenport-Moline-Rock Island, IA-IL",-90.466,41.397
"Urban Honolulu, HI",-158.105,21.501
"Glenwood Springs, CO",-107.660,39.505
"Lynchburg, VA",-79.220,37.365
"Indiana, PA",-79.088,40.652
"Marshall, TX",-94.371,32.548
"Columbia, MO",-92.310,38.991
"Breckenridge, CO",-106.116,39.634
"Cookeville, TN",-85.466,36.278
"Worcester, MA-CT",-71.927,42.223
"Macon-Bibb County, GA",-83.715,32.858
"Fayetteville, NC",-78.980,35.037
"Charleston-North Charleston, SC",-80.044,33.042
"Pierre, SD",-100.370,44.503
"Mountain Home, ID",-115.469,43.354
"Cornelia, GA",-83.531,34.631
"Norwich-New London, CT",-72.101,41.487
"Longview, TX",-94.829,32.372
"Salem, OR",-122.903,44.903
"Cañon City, CO",-105.440,38.473
"Taos, NM",-105.631,36.578
"Milledgeville, GA",-83.090,33.198
"Utica-Rome, NY",-75.181,43.337
"El Campo, TX",-96.222,29.278
"Bozeman, MT",-111.170,45.541
"Florence, SC",-79.808,34.152
"Salinas, CA",-121.239,36.217
"North Wilkesboro, NC",-81.163,36.206
"Jefferson City, MO",-92.092,38.640
"Aguadilla-Isabela, PR",-66.953,18.335
"Albany, OR",-122.535,44.489
"Ukiah, CA",-123.391,39.440
"Austin-Round Rock, TX",-97.654,30.263
"Talladega-Sylacauga, AL",-86.204,33.173
"Johnson City, TN",-82.334,36.254
"Parkersburg-Vienna, WV",-81.463,39.139
"Green Bay, WI",-88.077,44.773
"Providence-Warwick, RI-MA",-71.400,41.718
"Mount Pleasant, TX",-94.966,33.217
"Winchester, VA-WV",-78.474,39.272
"Grand Rapids, MN",-93.632,47.510
"Riverside-San Bernardino-Ontario, CA",-116.130,34.552
"Camden, AR",-92.707,33.577
"Jackson, MS",-90.220,32.317
"New Haven-Milford, CT",-72.932,41.410
